,Date,Season,Home,Away,Home Win By (Vegas)
0,2020-12-28,2020,Atlanta,Detroit,10.5
1,2021-01-02,2020,Atlanta,Cleveland,5.5
2,2021-01-04,2020,Atlanta,NewYork,7
3,2021-01-06,2020,Atlanta,Charlotte,6
4,2021-01-11,2020,Atlanta,Philadelphia,6
5,2021-01-18,2020,Atlanta,Minnesota,7
6,2021-01-20,2020,Atlanta,Detroit,4.5
7,2021-01-26,2020,Atlanta,LAClippers,6
8,2021-01-27,2020,Atlanta,Brooklyn,-6
9,2021-02-01,2020,Atlanta,LALakers,-7
10,2021-02-03,2020,Atlanta,Dallas,-2
11,2021-02-04,2020,Atlanta,Utah,-10
12,2021-02-06,2020,Atlanta,Toronto,-1
13,2021-02-12,2020,Atlanta,SanAntonio,2.5
14,2021-02-13,2020,Atlanta,Indiana,-1.5
15,2021-02-21,2020,Atlanta,Denver,-2.5
16,2021-02-24,2020,Atlanta,Boston,-1.5
17,2021-03-13,2020,Atlanta,Sacramento,4
18,2021-03-14,2020,Atlanta,Cleveland,5.5
19,2021-03-18,2020,Atlanta,OklahomaCity,8
20,2021-04-04,2020,Atlanta,GoldenState,1.5
21,2021-04-06,2020,Atlanta,NewOrleans,3.5
22,2021-04-07,2020,Atlanta,Memphis,-1
23,2021-04-09,2020,Atlanta,Chicago,2.5
24,2021-04-15,2020,Atlanta,Milwaukee,-4.5
25,2021-04-18,2020,Atlanta,Indiana,2
26,2021-04-20,2020,Atlanta,Orlando,12.5
27,2021-04-23,2020,Atlanta,Miami,-6.5
28,2021-04-25,2020,Atlanta,Milwaukee,-6
29,2021-05-01,2020,Atlanta,Chicago,9
30,2021-05-03,2020,Atlanta,Portland,2.5
31,2021-05-05,2020,Atlanta,Phoenix,-1
32,2021-05-10,2020,Atlanta,Washington,8.5
33,2021-05-12,2020,Atlanta,Washington,7
34,2021-05-13,2020,Atlanta,Orlando,13.5
35,2021-05-16,2020,Atlanta,Houston,7.5
36,2020-12-23,2020,Boston,Milwaukee,-4.5
37,2020-12-25,2020,Boston,Brooklyn,-3
38,2020-12-30,2020,Boston,Memphis,7
39,2021-01-08,2020,Boston,Washington,3.5
40,2021-01-15,2020,Boston,Orlando,4
41,2021-01-17,2020,Boston,NewYork,7
42,2021-01-24,2020,Boston,Cleveland,6
43,2021-01-30,2020,Boston,LALakers,-3.5
44,2021-02-11,2020,Boston,Toronto,2.5
45,2021-02-12,2020,Boston,Detroit,7
46,2021-02-16,2020,Boston,Denver,2
47,2021-02-17,2020,Boston,Atlanta,2
48,2021-02-19,2020,Boston,Atlanta,5
49,2021-02-26,2020,Boston,Indiana,2.5
50,2021-02-28,2020,Boston,Washington,6.5
51,2021-03-02,2020,Boston,LAClippers,-5
52,2021-03-04,2020,Boston,Toronto,8
53,2021-03-16,2020,Boston,Utah,-3.5
54,2021-03-19,2020,Boston,Sacramento,7
55,2021-03-21,2020,Boston,Orlando,9
56,2021-03-29,2020,Boston,NewOrleans,3
57,2021-03-31,2020,Boston,Dallas,1
58,2021-04-02,2020,Boston,Houston,12
59,2021-04-04,2020,Boston,Charlotte,9
60,2021-04-06,2020,Boston,Philadelphia,pk
61,2021-04-07,2020,Boston,NewYork,3
62,2021-04-09,2020,Boston,Minnesota,8.5
63,2021-04-17,2020,Boston,GoldenState,3
64,2021-04-19,2020,Boston,Chicago,4.5
65,2021-04-22,2020,Boston,Phoenix,-1.5
66,2021-04-27,2020,Boston,OklahomaCity,11
