,Date,Home Team,Home Points For,Home Points Against,Home eFG%,Home FTr,Home ORB%,Home DRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away Team,Away Points For,Away Points Against,Away eFG%,Away FTr,Away ORB%,Away DRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORTG,Away DRtg
0,2020-12-28,Atlanta Hawks,128,120,.610,.390,20.5,68.5,75.0,5.1,12.3,11.9,130.8,122.7,Detroit Pistons,120,128,.505,.245,31.5,79.5,55.8,7.2,10.0,6.9,122.7,130.8
1,2020-12-28,Brooklyn Nets,111,116,.480,.170,24.5,69.8,68.3,11.9,8.7,13.7,101.5,106.0,Memphis Grizzlies,116,111,.480,.296,30.2,75.5,47.6,9.1,6.9,14.6,106.0,101.5
2,2020-12-28,Denver Nuggets,124,111,.609,.368,25.0,89.1,67.4,7.7,14.9,12.2,119.5,107.0,Houston Rockets,111,124,.547,.267,10.9,75.0,64.1,7.7,5.4,13.5,107.0,119.5
3,2020-12-28,Los Angeles Lakers,107,115,.529,.207,13.6,83.3,48.8,6.0,10.9,12.9,107.1,115.1,Portland Trail Blazers,115,107,.554,.163,16.7,86.4,62.8,9.0,10.0,8.4,115.1,107.1
4,2020-12-28,Oklahoma City Thunder,109,110,.552,.221,16.7,78.9,52.5,9.1,10.0,13.7,109.9,110.9,Utah Jazz,110,109,.576,.163,21.1,83.3,55.8,9.1,12.5,14.8,110.9,109.9
5,2021-1-2,Atlanta Hawks,91,96,.476,.224,32.6,68.8,62.9,9.5,8.1,17.6,95.7,100.9,Cleveland Cavaliers,96,91,.456,.187,31.3,67.4,50.0,10.5,3.8,13.2,100.9,95.7
6,2021-1-2,Houston Rockets,102,94,.525,.284,15.4,75.0,41.7,10.3,16.1,12.5,105.4,97.2,Sacramento Kings,94,102,.439,.233,25.0,84.6,31.4,5.2,10.0,12.4,97.2,105.4
7,2021-1-2,Indiana Pacers,102,106,.518,.214,10.9,73.0,64.7,6.5,7.1,8.0,110.4,114.8,New York Knicks,106,102,.578,.157,27.0,89.1,54.8,4.3,8.8,14.5,114.8,110.4
8,2021-1-2,New Orleans Pelicans,120,116,.506,.566,31.8,78.3,74.3,6.1,16.3,10.4,122.5,118.4,Toronto Raptors,116,120,.495,.297,21.7,68.2,55.3,6.1,8.9,8.0,118.4,122.5
9,2021-1-2,Orlando Magic,99,108,.417,.111,24.6,87.0,52.5,7.0,2.2,5.0,99.7,108.8,Oklahoma City Thunder,108,99,.517,.244,13.0,75.4,57.9,5.0,7.1,9.5,108.8,99.7
10,2021-1-2,Philadelphia 76ers,127,112,.696,.304,21.2,73.1,74.5,9.9,12.3,19.0,126.3,111.3,Charlotte Hornets,112,127,.484,.283,26.9,78.8,89.5,14.9,11.4,10.4,111.3,126.3
11,2021-1-4,Atlanta Hawks,108,113,.517,.264,22.7,73.2,60.0,4.1,3.1,11.0,110.9,116.1,New York Knicks,113,108,.547,.294,26.8,77.3,60.5,9.2,10.7,13.5,116.1,110.9
12,2021-1-4,Golden State Warriors,137,106,.644,.144,6.8,80.4,80.4,3.7,10.9,9.6,125.6,97.2,Sacramento Kings,106,137,.433,.433,19.6,93.2,58.8,4.6,11.1,11.6,97.2,125.6
13,2021-1-4,Houston Rockets,100,113,.461,.468,14.6,73.7,56.7,5.3,9.3,11.4,105.8,119.6,Dallas Mavericks,113,100,.573,.244,26.3,85.4,61.5,4.2,8.1,14.2,119.6,105.8
14,2021-1-4,Miami Heat,118,90,.667,.222,11.1,87.8,73.9,7.1,0.0,13.6,120.2,91.7,Oklahoma City Thunder,90,118,.449,.342,12.2,88.9,69.0,6.1,8.5,14.2,91.7,120.2
15,2021-1-4,Milwaukee Bucks,125,115,.659,.188,21.9,87.5,65.3,5.8,6.9,17.1,121.7,112.0,Detroit Pistons,115,125,.526,.122,12.5,78.1,62.8,8.8,9.8,7.2,112.0,121.7
16,2021-1-4,New Orleans Pelicans,116,118,.480,.238,30.2,89.1,59.1,4.6,8.3,13.9,107.0,108.9,Indiana Pacers,118,116,.586,.140,10.9,69.8,71.1,9.2,10.8,12.4,108.9,107.0
17,2021-1-4,Orlando Magic,103,83,.517,.148,40.9,80.0,57.9,9.8,12.3,16.9,112.6,90.7,Cleveland Cavaliers,83,103,.447,.141,20.0,59.1,60.6,13.1,7.4,13.4,90.7,112.6
18,2021-1-4,Philadelphia 76ers,118,101,.542,.242,26.4,83.7,73.9,6.9,10.6,8.7,116.6,99.8,Charlotte Hornets,101,118,.494,.256,16.3,73.6,83.3,4.0,6.3,14.3,99.8,116.6
19,2021-1-4,Toronto Raptors,114,126,.472,.422,15.4,70.7,55.6,12.4,7.3,8.6,108.9,120.3,Boston Celtics,126,114,.577,.405,29.3,84.6,46.3,2.9,17.0,16.1,120.3,108.9
20,2021-1-6,Atlanta Hawks,94,102,.411,.188,22.6,84.9,69.4,6.0,2.0,11.1,93.9,101.8,Charlotte Hornets,102,94,.441,.388,15.1,77.4,68.8,11.0,12.5,8.3,101.8,93.9
21,2021-1-6,Golden State Warriors,101,108,.500,.221,18.2,69.2,64.1,10.4,4.3,12.1,104.9,112.1,Los Angeles Clippers,108,101,.512,.309,30.8,81.8,52.8,6.2,5.4,17.1,112.1,104.9
22,2021-1-6,Indiana Pacers,114,107,.522,.292,17.1,86.1,50.0,10.0,17.6,8.2,113.4,106.5,Houston Rockets,107,114,.531,.321,13.9,82.9,48.7,7.0,18.2,14.8,106.5,113.4
23,2021-1-6,Miami Heat,105,107,.512,.321,14.0,69.2,74.3,2.2,10.9,8.0,113.8,115.9,Boston Celtics,107,105,.485,.121,30.8,86.0,52.4,7.6,11.1,6.3,115.9,113.8
24,2021-1-6,Milwaukee Bucks,130,115,.650,.233,22.0,71.7,71.4,4.9,7.1,12.4,128.1,113.4,Detroit Pistons,115,130,.459,.309,28.3,78.0,52.6,5.9,6.4,7.6,113.4,128.1
25,2021-1-6,New Orleans Pelicans,110,111,.517,.258,20.9,91.5,56.8,10.7,0.0,13.1,106.7,107.6,Oklahoma City Thunder,111,110,.569,.184,8.5,79.1,70.0,9.7,7.5,13.0,107.6,106.7
26,2021-1-6,New York Knicks,112,100,.563,.218,25.6,78.7,48.9,10.4,10.6,11.2,116.1,103.7,Utah Jazz,100,112,.516,.121,21.3,74.4,50.0,5.2,13.8,12.7,103.7,116.1
27,2021-1-6,Orlando Magic,105,94,.568,.222,20.0,72.9,50.0,4.3,6.8,14.4,113.1,101.3,Cleveland Cavaliers,94,105,.447,.306,27.1,80.0,66.7,9.7,7.7,9.4,101.3,113.1
28,2021-1-6,Philadelphia 76ers,141,136,.728,.407,3.7,79.1,66.0,8.2,10.5,14.3,128.5,123.9,Washington Wizards,136,141,.585,.372,20.9,96.3,57.4,8.2,3.8,10.6,123.9,128.5
